movie_id,gross
tt0274309,2801397
tt0298203,242875078
tt0315733,60466876
tt0337563,96455697
tt0463854,65048678
tt0450385,132963417
tt0172495,465380802
tt0208092,83557872
tt0209144,40047078
tt0335266,118686937
tt0327056,156595191
tt0266697,180906076
tt0338013,74036715
tt0401792,158733820
tt0449467,135330182
tt0206634,70595464
tt0765443,56107312
tt0477348,171627166
tt0469494,76182388
tt0910970,521311890
tt1049413,735099102
tt0499549,2847379794
tt1130884,294805697
tt1375666,836848102
tt1403865,252276927
tt0780504,77187281
tt1024648,232325503
tt1853728,426074373
tt1392214,122126687
tt0816692,701729206
tt1065073,48137666
tt2582802,49396747
tt2267998,369330363
tt2872718,47398992
tt1392190,375709470
tt2096673,858848019
tt5052448,255745157
tt3315342,619179950
tt5013056,527016307
tt5027774,160260573
tt2283362,962542945
tt6000478,13025860
tt5657846,180613824
tt0375679,98410061
tt0352248,108539911
tt0414387,121616555
tt0758758,56675895
tt2872732,458863600
tt2179136,547459020
tt2084970,233555708
tt0181984,28780255
tt0134847,53187659
tt0181151,14145677
tt0195685,256271286
tt0195714,112880294
tt0146882,47126295
tt0186151,68106245
tt0160797,71732303
tt0144084,34266564
tt0171433,59945183
tt0141926,127666415
tt0171359,2046433
tt0215129,119754278
tt0120755,546388108
tt0184894,99274467
tt0187078,237202299
tt0120903,296339528
tt0171580,29364989
tt0218839,20789556
tt0210945,136771683
tt0212338,330444045
tt0180093,7390108
tt0223897,55707411
tt0203019,82343495
tt0186894,53425292
tt0217869,248118121
tt0207201,374111707
tt0162222,429632142
tt0212346,212742720
tt0190590,71870729
tt0120202,9206279
tt0149624,18133495
tt0181865,207515725
tt0179626,56359980
tt0132245,54744738
tt0213149,449220945
tt0251075,98376292
tt0244244,147080413
tt0240462,176104344
tt0198021,40863718
tt0130623,349822765
tt0120630,224834564
tt0183505,149270999
tt0160127,264105545
tt0173840,85131830
tt0175142,278019771
tt0200550,113916474
tt0181875,47386287
tt0230030,90383208
tt0212985,351692268
tt0243155,281995610
tt0212720,235926552
tt0250494,141774679
tt0265029,138307673
tt0196229,60780981
tt0166924,20271129
tt0120681,74558115
tt0246578,6981586
tt0256380,141069860
tt0240772,450717150
tt0259711,203388341
tt0265086,172989651
tt0181689,358372926
tt0286106,408247917
tt0289765,209196298
tt0295297,879793867
tt0183649,97837138
tt0305224,195745823
tt0309698,90259536
tt0315327,484592874
tt0319061,123218424
tt0289879,96822421
tt0349825,64445708
tt0343660,198520934
tt0317648,108040622
tt0335438,170268750
tt0363988,92913171
tt0167190,99378985
tt0378194,154118820
tt0332452,497409852
tt0298148,928760770
tt0304141,797491273
tt0316654,788976453
tt0349683,203567857
tt0357413,90709367
tt0343818,353133898
tt0327554,82102379
tt0369339,220239925
tt0318627,129342769
tt0365748,30097092
tt0307453,374583879
tt0390384,545436
tt0375063,109706931
tt0361862,8203235
tt0387564,103911669
tt0308644,116650613
tt0368891,347512318
tt0376541,115505027
tt0349903,362744280
tt0405159,216763646
tt0367594,474968763
tt0290002,522657936
tt0357277,56995646
tt0358082,262511490
tt0318649,119240351
tt0320661,218122627
tt0121766,868390560
tt0351283,542063846
tt0356910,487287646
tt0372784,373672993
tt0407304,603873119
tt0120667,333535934
tt0396269,288485135
tt0379786,40445129
tt0388482,89083229
tt0399295,72617068
tt0121164,118133252
tt0379725,49327405
tt0373469,15785148
tt0388795,178062759
tt0433383,54641191
tt0365737,93974620
tt0330373,896730264
tt0416320,85638656
tt0450278,81979826
tt0370032,31070211
tt0425210,56308881
tt0317919,398479497
tt0475276,76700659
